date,SPY,TLT,GLD,DBC,UUP
2015-12-21,170.0195770263672,91.3953628540039,103.1500015258789,11.168231010437012,21.336130142211914
2015-12-22,171.5623779296875,90.73514556884766,102.61000061035156,11.11750316619873,21.302715301513672
2015-12-23,173.68685913085938,90.05268096923828,102.30999755859375,11.32041072845459,21.336130142211914
2015-12-24,173.40020751953125,90.5685806274414,103.05000305175781,11.32041072845459,21.286008834838867
2015-12-28,173.00401306152344,90.83621215820312,102.2699966430664,11.159774780273438,21.26094627380371
2015-12-29,174.85023498535156,89.32710266113281,102.19999694824219,11.345772743225098,21.31942367553711
2015-12-30,173.61094665527344,89.23786163330078,101.41999816894531,11.235864639282227,21.31942367553711
2015-12-31,171.87429809570312,89.6393051147461,101.45999908447266,11.295045852661133,21.428024291992188
2016-01-04,169.4715576171875,90.28609466552734,102.88999938964844,11.210502624511719,21.461441040039062
2016-01-05,169.75820922851562,89.92179107666016,103.18000030517578,11.10059642791748,21.58675193786621
2016-01-06,167.61685180664062,91.1335678100586,104.66999816894531,10.923055648803711,21.52827262878418
2016-01-07,163.59544372558594,91.29713439941406,106.1500015258789,10.87232780456543,21.311067581176758
2016-01-08,161.7996826171875,91.70600128173828,105.68000030517578,10.821601867675781,21.352840423583984
2016-01-11,161.95989990234375,90.70237731933594,104.73999786376953,10.5256986618042,21.453088760375977
2016-01-12,163.2666778564453,92.01074981689453,104.20999908447266,10.458063125610352,21.48650360107422
2016-01-13,159.19467163085938,92.9177474975586,104.72000122070312,10.398882865905762,21.453088760375977
2016-01-14,161.8081512451172,92.04793548583984,103.0199966430664,10.424245834350586,21.511564254760742
2016-01-15,158.3347625732422,93.48270416259766,104.08000183105469,10.204431533813477,21.461441040039062
2016-01-19,158.5454864501953,93.19278717041016,103.9800033569336,10.119888305664062,21.503210067749023
2016-01-20,156.5137481689453,94.17407989501953,105.37000274658203,10.04379940032959,21.511564254760742
2016-01-21,157.39051818847656,93.53478240966797,105.48999786376953,10.179069519042969,21.48650360107422
2016-01-22,160.6195068359375,93.17789459228516,105.0,10.483426094055176,21.603458404541016
2016-01-25,158.19149780273438,93.68343353271484,106.08000183105469,10.255158424377441,21.5366268157959
2016-01-26,160.3496551513672,93.7280502319336,107.29000091552734,10.458063125610352,21.494857788085938
2016-01-27,158.60452270507812,93.70574188232422,107.69000244140625,10.584878921508789,21.4781494140625
2016-01-28,159.4307403564453,93.83954620361328,106.54000091552734,10.703240394592285,21.37790298461914
2016-01-29,163.31723022460938,94.63499450683594,106.94999694824219,10.804692268371582,21.603458404541016
2016-02-01,163.2581787109375,94.34524536132812,108.05000305175781,10.601786613464355,21.461441040039062
2016-02-02,160.31590270996094,96.09557342529297,108.08999633789062,10.415790557861328,21.444730758666992
2016-02-03,161.27703857421875,95.29862213134766,109.25,10.677876472473145,21.07715606689453
2016-02-04,161.52993774414062,95.76041412353516,110.56999969482422,10.660968780517578,20.935136795043945
2016-02-05,158.45277404785156,95.87211608886719,112.31999969482422,10.59333324432373,21.027034759521484
2016-02-08,156.3198699951172,97.93521881103516,113.83000183105469,10.542606353759766,20.976909637451172
2016-02-09,156.32827758789062,98.03952026367188,113.58000183105469,10.27206802368164,20.8265380859375
2016-02-10,156.19342041015625,98.9034652709961,114.45999908447266,10.288976669311523,20.784765243530273
2016-02-11,154.16163635253906,99.5961685180664,119.05999755859375,10.415790557861328,20.726287841796875
2016-02-12,157.3399200439453,97.94265747070312,118.36000061035156,10.56796932220459,20.81818199157715
2016-02-16,159.99560546875,96.90740966796875,114.7699966430664,10.449607849121094,21.001970291137695
2016-02-17,162.60903930664062,96.31157684326172,115.4800033569336,10.66942310333252,20.993616104125977
2016-02-18,161.94300842285156,97.4958267211914,118.29000091552734,10.610241889953613,21.001970291137695
2016-02-19,161.86724853515625,97.5777359008789,117.58000183105469,10.517242431640625,20.94349479675293
2016-02-22,164.21087646484375,97.5256118774414,115.48999786376953,10.677876472473145,21.102218627929688
2016-02-23,162.1369171142578,97.92036437988281,117.22000122070312,10.53415298461914,21.110572814941406
2016-02-24,162.87889099121094,97.72669219970703,117.61000061035156,10.66942310333252,21.12728500366211
2016-02-25,164.85159301757812,98.07677459716797,117.91999816894531,10.660968780517578,21.110572814941406
2016-02-26,164.47219848632812,97.1308364868164,117.11000061035156,10.644059181213379,21.252592086791992
2016-02-29,163.18235778808594,97.55540466308594,118.63999938964844,10.779329299926758,21.294361114501953
2016-03-01,167.01829528808594,95.83759307861328,117.7699966430664,10.7877836227417,21.302715301513672
2016-03-02,167.76858520507812,96.23308563232422,118.68000030517578,10.846964836120605,21.286008834838867
2016-03-03,168.42616271972656,96.58379364013672,120.7300033569336,10.906144142150879,21.15234375
2016-03-04,168.97418212890625,95.96443176269531,120.54000091552734,11.11750316619873,21.0938663482666
2016-03-07,169.1090087890625,95.93461608886719,121.13999938964844,11.32041072845459,21.05209732055664
2016-03-08,167.26271057128906,96.99420166015625,120.58000183105469,11.168231010437012,21.060447692871094
2016-03-09,168.08892822265625,96.4047622680664,119.58000183105469,11.337318420410156,21.068801879882812
2016-03-10,168.2238311767578,96.00920867919922,121.5,11.32041072845459,20.85995101928711
2016-03-11,170.93846130371094,95.03913116455078,119.41000366210938,11.36268138885498,20.843244552612305
2016-03-14,170.7193145751953,95.33763122558594,117.87000274658203,11.261228561401367,20.926782608032227
2016-03-15,170.44110107421875,95.42716979980469,117.95999908447266,11.168231010437012,20.94349479675293
2016-03-16,171.4274444580078,95.71070098876953,120.58999633789062,11.36268138885498,20.717931747436523
2016-03-17,172.5150146484375,96.1062240600586,120.12999725341797,11.489497184753418,20.534147262573242
2016-03-18,173.19296264648438,96.30770874023438,119.80000305175781,11.481042861938477,20.58426856994629
2016-03-21,173.4386749267578,95.56896209716797,118.95999908447266,11.514859199523926,20.651100158691406
2016-03-22,173.34547424316406,95.54653930664062,119.30999755859375,11.599404335021973,20.70958137512207
